id,label
0,2
1,0
2,0
3,0
4,3
5,3
6,0
7,0
8,0
9,0
10,3
11,0
12,0
13,5
14,6
15,0
16,5
17,5
18,5
19,6
20,3
21,5
22,6
23,4
24,0
25,6
26,4
27,6
28,5
29,5
30,3
31,6
32,3
33,6
34,6
35,6
36,5
37,5
38,0
39,3
40,0
41,2
42,0
43,5
44,3
45,3
46,5
47,3
48,5
49,6
50,6
51,3
52,5
53,0
54,4
55,3
56,2
57,0
58,5
59,3
60,6
61,3
62,0
63,5
64,5
65,3
66,5
67,6
68,0
69,3
70,6
71,5
72,6
73,3
74,0
75,6
76,5
77,6
78,6
79,0
80,0
81,6
82,0
83,6
84,5
85,0
86,3
87,3
88,5
89,3
90,6
91,5
92,3
93,6
94,0
95,0
96,0
97,3
98,3
99,0
100,3
101,6
102,0
103,3
104,5
105,5
106,6
107,6
108,5
109,0
110,3
111,6
112,6
113,6
114,3
115,0
116,3
117,6
118,5
119,6
120,5
121,6
122,0
123,2
124,4
125,6
126,3
127,6
128,5
129,5
130,5
131,6
132,0
133,6
134,0
135,5
136,5
137,3
138,6
139,6
140,6
141,3
142,0
143,6
144,0
145,6
146,3
147,3
148,3
149,2
150,0
151,0
152,5
153,3
154,5
155,5
156,6
157,5
158,0
159,3
160,0
161,3
162,3
163,3
164,6
165,6
166,6
167,6
168,5
169,6
170,6
171,0
172,5
173,6
174,0
175,0
176,6
177,0
178,0
179,5
180,6
181,3
182,5
183,3
184,3
185,0
186,0
187,3
188,3
189,3
190,4
191,3
192,5
193,5
194,3
195,0
196,5
197,6
198,0
199,0
200,6
201,3
202,5
203,3
204,3
205,5
206,0
207,4
208,0
209,0
210,6
211,0
212,0
213,0
214,0
215,5
216,5
217,4
218,4
219,3
220,3
221,4
222,5
223,6
224,0
225,3
226,5
227,0
228,0
229,3
230,0
231,6
232,5
233,6
234,3
235,0
236,4
237,0
238,2
239,6
240,3
241,6
242,6
243,0
244,1
245,3
246,3
247,6
248,0
249,6
250,0
251,0
252,0
253,0
254,0
255,6
256,0
257,0
258,2
259,6
260,0
261,6
262,0
263,6
264,0
265,0
266,2
267,3
268,3
269,4
270,6
271,0
272,5
273,3
274,5
275,3
276,4
277,5
278,6
279,0
280,3
281,5
282,6
283,0
284,0
285,6
286,0
287,6
288,6
289,6
290,0
291,3
292,6
293,6
294,3
295,0
296,2
297,0
298,6
299,3
300,0
301,4
302,3
303,3
304,0
305,3
306,5
307,3
308,3
309,3
310,3
311,6
312,6
313,6
314,0
315,0
316,6
317,0
318,2
319,3
320,6
321,5
322,3
323,6
324,0
325,6
326,2
327,3
328,3
329,5
330,3
331,3
332,0
333,3
334,5
335,3
336,0
337,6
338,0
339,3
340,6
341,5
342,0
343,6
344,0
345,6
346,3
347,3
348,0
349,6
350,6
351,0
352,6
353,3
354,0
355,4
356,3
357,4
358,3
359,2
360,3
361,0
362,3
363,6
364,5
365,3
366,3
367,3
368,2
369,0
370,0
371,6
372,4
373,6
374,4
375,0
376,0
377,5
378,4
379,4
380,6
381,5
382,3
383,0
384,3
385,6
386,3
387,5
388,6
389,0
390,0
391,6
392,3
393,5
394,0
395,5
396,0
397,0
398,6
399,0
400,0
401,5
402,3
403,6
404,0
405,6
406,5
407,5
408,5
409,5
410,0
411,5
412,6
413,3
414,3
415,6
416,0
417,0
418,5
419,4
420,6
421,3
422,2
423,4
424,5
425,5
426,5
427,3
428,3
429,6
430,2
431,6
432,2
433,6
434,6
435,0
436,6
437,0
438,6
439,6
440,6
441,0
442,6
443,4
444,5
445,0
446,0
447,0
448,0
449,0
450,6
451,3
452,3
453,0
454,0
455,5
456,0
457,4
458,4
459,6
460,5
461,5
462,5
463,3
464,6
465,6
466,2
467,0
468,3
469,4
470,0
471,5
472,0
473,0
474,6
475,0
476,3
477,6
478,0
479,4
480,6
481,0
482,6
483,0
484,4
485,0
486,6
487,5
488,3
489,6
490,0
491,0
492,3
493,6
494,0
495,3
496,5
497,0
498,4
499,5
500,6
501,0
502,6
503,5
504,6
505,6
506,0
507,6
508,6
509,0
510,0
511,3
512,0
513,0
514,0
515,3
516,5
517,4
518,0
519,6
520,3
521,6
522,0
523,6
524,3
525,3
526,3
527,0
528,6
529,3
530,0
531,3
532,5
533,5
534,0
535,6
536,0
537,6
538,5
539,0
540,4
541,6
542,6
543,6
544,0
545,0
546,6
547,0
548,3
549,3
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,6
559,4
560,1
561,6
562,5
563,0
564,2
565,5
566,6
567,5
568,0
569,6
570,6
571,3
572,6
573,6
574,5
575,2
576,0
577,3
578,6
579,0
580,6
581,3
582,3
583,3
584,5
585,0
586,4
587,5
588,6
589,0
590,6
591,0
592,4
593,6
594,3
595,3
596,4
597,6
598,4
599,6
600,4
601,6
602,4
603,6
604,3
605,4
606,0
607,0
608,6
609,4
610,6
611,5
612,3
613,0
614,5
615,0
616,6
617,6
618,4
619,0
620,3
621,3
622,0
623,3
624,3
625,3
626,3
627,0
628,6
629,3
630,6
631,3
632,0
633,0
634,5
635,0
636,5
637,0
638,0
639,6
640,5
641,6
642,3
643,6
644,3
645,4
646,3
647,0
648,5
649,3
650,0
651,0
652,0
653,3
654,6
655,5
656,3
657,0
658,6
659,5
660,0
661,3
662,3
663,3
664,3
665,5
666,6
667,0
668,0
669,0
670,4
671,0
672,3
673,0
674,6
675,6
676,6
677,0
678,6
679,6
680,0
681,0
682,5
683,6
684,0
685,6
686,6
687,3
688,0
689,3
690,3
691,5
692,0
693,0
694,0
695,6
696,0
697,3
698,2
699,0
700,5
701,3
702,0
703,6
704,5
705,0
706,3
707,5
708,3
709,3
710,0
711,0
712,2
713,3
714,6
715,3
716,6
717,4
718,4
719,6
720,0
721,3
722,3
723,0
724,0
725,0
726,6
727,5
728,6
729,0
730,3
731,0
732,6
733,6
734,6
735,6
736,6
737,0
738,0
739,3
740,6
741,5
742,6
743,3
744,3
745,0
746,0
747,3
748,5
749,0
750,0
751,3
752,0
753,6
754,6
755,0
756,0
757,5
758,3
759,6
760,0
761,0
762,0
763,3
764,6
765,3
766,0
767,6
768,6
769,0
770,3
771,5
772,0
773,0
774,0
775,5
776,3
777,6
778,0
779,5
780,0
781,6
782,6
783,4
784,0
785,6
786,3
787,2
788,0
789,4
790,0
791,0
792,3
793,6
794,0
795,3
796,6
797,5
798,0
799,5
800,3
801,6
802,5
803,6
804,5
805,3
806,5
807,0
808,0
809,0
810,3
811,2
812,4
813,6
814,0
815,6
816,6
817,5
818,0
819,5
820,0
821,5
822,6
823,0
824,5
825,6
826,5
827,6
828,5
829,0
830,1
831,5
832,5
833,0
834,0
835,0
836,3
837,0
838,0
839,0
840,6
841,6
842,0
843,4
844,0
845,0
846,3
847,6
848,6
849,5
850,6
851,4
852,0
853,6
854,0
855,0
856,4
857,3
858,6
859,5
860,0
861,5
862,0
863,6
864,0
865,2
866,6
867,6
868,3
869,3
870,3
871,3
872,0
873,5
874,6
875,5
876,4
877,6
878,3
879,0
880,3
881,0
882,6
883,6
884,5
885,0
886,0
887,0
888,0
889,5
890,0
891,5
892,0
893,4
894,0
895,6
896,1
897,0
898,6
899,0
900,0
901,0
902,3
903,6
904,5
905,3
906,3
907,5
908,4
909,5
910,5
911,0
912,6
913,0
914,0
915,6
916,4
917,6
918,0
919,0
920,6
921,0
922,3
923,6
924,0
925,3
926,0
927,0
928,6
929,0
930,0
931,0
932,5
933,4
934,0
935,5
936,3
937,6
938,3
939,3
940,3
941,0
942,0
943,3
944,6
945,0
946,0
947,6
948,3
949,4
950,5
951,0
952,4
953,2
954,5
955,0
956,4
957,6
958,6
959,5
960,3
961,0
962,6
963,3
964,2
965,0
966,3
967,0
968,3
969,3
970,3
971,3
972,6
973,0
974,6
975,6
976,0
977,6
978,3
979,6
980,4
981,5
982,5
983,6
984,6
985,6
986,3
987,2
988,3
989,5
990,5
991,3
992,0
993,6
994,0
995,0
996,4
997,0
998,0
999,3
1000,2
1001,0
1002,6
1003,4
1004,0
1005,6
1006,0
1007,6
1008,0
1009,0
1010,0
1011,5
1012,5
1013,3
1014,0
1015,6
1016,0
1017,0
1018,3
1019,4
1020,6
1021,0
1022,0
1023,0
1024,0
1025,4
1026,6
1027,0
1028,0
1029,6
1030,0
1031,0
1032,3
1033,0
1034,0
1035,3
1036,3
1037,0
1038,5
1039,6
1040,0
1041,6
1042,3
1043,6
1044,3
1045,6
1046,3
1047,0
1048,0
1049,6
1050,3
1051,0
1052,6
1053,0
1054,5
1055,3
1056,4
1057,6
1058,3
1059,0
1060,3
1061,3
1062,0
1063,6
1064,6
1065,6
1066,3
1067,3
1068,0
1069,3
1070,4
1071,0
1072,0
1073,3
1074,6
1075,3
1076,0
1077,4
1078,6
1079,0
1080,3
1081,3
1082,5
1083,0
1084,0
1085,6
1086,0
1087,5
1088,5
1089,3
1090,0
1091,3
1092,3
1093,3
1094,6
1095,4
1096,6
1097,3
1098,0
1099,6
1100,6
1101,0
1102,0
1103,2
1104,6
1105,0
1106,0
1107,4
1108,0
1109,0
1110,0
1111,6
1112,5
1113,0
1114,5
1115,6
1116,6
1117,0
1118,0
1119,3
1120,5
1121,3
1122,3
1123,6
1124,5
1125,3
1126,6
1127,0
1128,3
1129,6
1130,0
1131,3
1132,6
1133,3
1134,6
1135,2
1136,5
1137,0
1138,3
1139,0
1140,5
1141,0
1142,5
1143,0
1144,6
1145,4
1146,6
1147,3
1148,3
1149,6
1150,6
1151,6
1152,0
1153,0
1154,5
1155,5
1156,3
1157,6
1158,3
